index,J_XYL_F_0001_01,J_XYL_F_0001_02,J_XYL_F_0002_01,J_XYL_F_0002_02,J_XYL_F_0003_01,J_XYL_F_0003_02,J_XYL_F_0004_01,J_XYL_F_0004_02,J_XYL_F_0005_01,J_XYL_F_0005_02,J_XYL_F_0006_01,J_XYL_F_0006_02,J_XYL_F_0010_01,J_XYL_F_0010_02,J_XYL_F_0012_01,J_XYL_F_0012_02,J_XYL_F_0013_01,J_XYL_F_0013_02,J_XYL_F_0015_01,J_XYL_F_0015_02,J_XYL_F_0016_01,J_XYL_F_0016_02,J_XYL_F_0018_01,J_XYL_F_0018_02,J_XYL_F_0020_01,J_XYL_F_0020_02,J_XYL_F_0025_01,J_XYL_F_0025_02,J_XYL_F_0031_01,J_XYL_F_0031_02,J_XYL_F_0032_01,J_XYL_F_0032_02,J_XYL_F_0034_01,J_XYL_F_0034_02,J_XYL_F_0036_01,J_XYL_F_0036_02,J_XYL_F_0043_01,J_XYL_F_0043_2,J_XYL_F_0044_01,J_XYL_F_0044_02,J_XYL_F_0045_01,J_XYL_F_0045_2,J_XYL_F_0046_01,J_XYL_F_0046_02,J_XYL_F_0047_01,J_XYL_F_0047_02,J_XYL_F_0048_01,J_XYL_F_0049_02,J_XYL_F_0050_01,J_XYL_F_0050_02,J_XYL_F_0051_01,J_XYL_F_0051_02,J_XYL_F_0053_01,J_XYL_F_0053_02,J_XYL_F_0057_01,J_XYL_F_0057_02,J_XYL_F_0058_01,J_XYL_F_0058_02,J_XYL_F_0059_01,J_XYL_F_0059_02,J_XYL_F_0060_01,J_XYL_F_0060_02,J_XYL_F_0061_01,J_XYL_F_0061_02,J_XYL_F_0062_01,J_XYL_F_0062_02,J_XYL_F_0064_01,J_XYL_F_0064_02,J_XYL_F_0065_01,J_XYL_F_0065_02,J_XYL_F_0066_01,J_XYL_F_0066_02,K_XYL_F_0001_01,K_XYL_F_0001_02,K_XYL_F_0002_01,K_XYL_F_0002_02,K_XYL_F_0003_01,K_XYL_F_0003_02,K_XYL_F_0004_01,K_XYL_F_0004_02,K_XYL_F_0005_01,K_XYL_F_0005_02,K_XYL_F_0007_01,K_XYL_F_0007_02,K_XYL_F_0008_01,K_XYL_F_0008_02,K_XYL_F_0009_01,K_XYL_F_0009_02,K_XYL_F_0011_01,K_XYL_F_0011_02,K_XYL_F_0012_01,K_XYL_F_0012_02,K_XYL_F_0013_01,K_XYL_F_0013_02,K_XYL_F_0017_01,K_XYL_F_0017_02,K_XYL_F_0018_01,K_XYL_F_0018_02,K_XYL_F_0022_01,K_XYL_F_0022_02,K_XYL_F_0028_01,K_XYL_F_0028_02,K_XYL_F_0030_02,K_XYL_F_0030_03,K_XYL_F_0033_01,K_XYL_F_0033_02,K_XYL_F_0035_01,K_XYL_F_0035_02,K_XYL_F_0036_01,K_XYL_F_0036_02,K_XYL_F_0037_01,K_XYL_F_0037_02,K_XYL_F_0038_01,K_XYL_F_0038_02,K_XYL_F_0039_01,K_XYL_F_0039_02,K_XYL_F_0042_01,K_XYL_F_0042_02,K_XYL_F_0043_01,K_XYL_F_0043_02,K_XYL_F_0044_01,K_XYL_F_0044_02,K_XYL_F_0045_01,K_XYL_F_0045_02,K_XYL_F_0046_01,K_XYL_F_0046_02,K_XYL_F_0047_01,K_XYL_F_0047_02,K_XYL_F_0048_01,K_XYL_F_0048_02
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister,0,25,1,384,0,560,0,69,169,404,0,0,389,2263,298,92,26,51,632,192,114,81,110,0,0,114,270,86,594,78,49,0,245,139,339,299,0,0,0,0,0,4,555,257,64,313,0,13,0,0,0,578,573,138,0,465,16,609,23,18,9,6,1,9,3068,111,28,31,1857,101,0,165,0,0,141,0,0,0,0,0,9,17,136,0,4,22,461,719,87,3,1407,356,9,8,0,77,12,15,14,104,0,0,0,0,27,39,124,56,119,0,94,103,0,172,135,149,306,71,180,31,0,4,235,0,255,0,1950,1166,5,123
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas,0,12,0,37,0,0,0,0,195,0,3028,0,462,506,0,43,3114,7654,41,54,0,54,161,71,168,0,160,0,0,0,174,0,94,343,44,0,0,0,0,0,31,22,108,521,39,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,666,435,0,0,69,0,223,308,0,0,34,0,15,0,0,48,154,357,0,467,0,0,0,0,0,24,503,694,19,39,0,19,42,68,84,50,37,98,785,931,0,0,17,0,0,0,0,0,38,50,0,33,0,0,0,0,0,0,269,604,0,0,0,0,35,0,29,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum,0,23,92,292,436,199,348,199,157,402,0,0,210,369,0,0,116,0,45,35,84,0,302,0,276,54,110,650,1,0,271,602,213,35,203,216,190,254,0,0,0,0,247,472,144,488,0,412,0,0,0,137,132,79,0,108,0,28,195,445,8,0,0,0,248,131,134,185,45,101,0,0,0,0,0,0,0,0,0,0,0,0,185,0,79,274,86,247,110,0,225,138,0,0,34,0,0,0,0,0,0,0,0,0,83,32,122,181,181,0,0,29,0,126,0,0,48,122,0,0,0,105,340,147,245,0,205,323,0,94
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__,486,133,357,195,0,277,349,234,300,342,771,104,486,255,50,88,227,18,2,55,122,129,225,79,274,0,153,404,5,317,191,297,170,34,245,212,475,139,182,0,238,142,174,421,461,173,0,337,406,1,310,0,223,112,0,689,385,268,130,419,114,209,384,299,144,97,44,87,295,526,40,96,81,0,31,12,5,78,213,116,302,380,629,382,444,99,0,59,270,26,143,68,552,221,156,339,78,5,371,461,0,151,537,67,0,154,206,654,118,0,157,199,18,441,297,0,170,39,149,14,34,259,317,183,198,287,154,474,372,197
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,110,63,770,797,2446,12,623,574,707,961,297,0,844,757,506,130,268,28,190,300,884,24,539,322,877,161,719,645,1080,406,1267,728,521,12,916,201,1223,89,1462,102,0,657,618,41,774,832,36,1152,364,0,185,79,599,913,2181,1103,453,1005,1002,708,878,317,895,1116,512,0,273,358,245,948,175,259,3728,0,680,0,33,292,747,23,1186,110,1510,136,435,161,644,701,830,388,730,439,281,614,1128,712,93,3406,14,31,582,2085,960,681,1099,25,1301,813,908,959,240,43,613,884,19,0,502,66,717,65,1193,400,377,313,312,369,956,559,717,730
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group,0,0,0,0,0,7,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,14,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,0,0,10,0,0,10,0,0,0,0,33,127,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,139,60,0,0,0,14,0,19,0,3,0,0,0,0,0,0,0,0,0,49,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group,0,17,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,19,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,27,6,0,4,0,0,8,0,0,0,31,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,0,5,0,0,0,10,0,12,0,0,0,0,0,0,132,0,8,0,0,50,0,159,0,0,13,5,0,0,0,3,125,6,0,0,0,11,7,0,0,0,0,6,0,0,20,0,0,0,0,0,0,0,94,8,0,0,143,9,0,0,124,78,106,188,5,0,3,0,0,0,0,140,22,0,60,0,7,115,0,55,0,263,0,0,0,0,0,0,19,0,0,0,0,36,133,58,232,15,571,143,134,139,83,0,0,0,0,0,112,0,7,54,0,63,0,0,0,0,163,93,0,0,0,17,0,16,0,120,0,142
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,0,73,542,321,814,639,439,162,292,567,68,0,281,373,225,218,137,0,0,81,983,106,796,249,1135,433,615,689,498,197,402,450,719,941,495,194,763,1176,0,0,257,86,648,649,122,629,46,747,0,0,0,240,518,381,0,1732,0,374,830,1276,0,0,0,0,240,160,125,382,974,521,242,88,0,0,218,49,0,214,112,0,112,67,369,1951,503,309,621,598,457,261,464,615,0,171,239,0,93,0,55,1286,0,0,2043,0,279,265,1523,787,499,1369,346,542,66,340,127,90,1078,161,259,174,514,1120,1815,307,2184,385,277,1345,127,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella,0,20,93,34,0,14,0,39,0,0,81,0,69,0,46,0,12,0,77,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,143,64,0,108,0,228,9,0,42,0,0,0,140,0,17,14,0,11,0,0,0,115,185,0,0,222,11,0,0,12,22,0,0,9,0,43,0,0,5,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,104,0,2,0,0,0,14,0,16,26,15,0,15,0,0,1,0
